Strike,Expiry,Type,Symbol,Last,Bid,Ask,Chg,PctChg,Vol,Open_Int,IV,Root,IsNonstandard,Underlying,Underlying_Price,Quote_Time,Last_Trade_Date,JSON
177.5,2018-02-09,call,AAPL180209C00177500,5.1,5.15,5.35,-0.9000001,-15.000002,442.0,1755.0,0.2921213366699218,AAPL,False,AAPL,178.46,2018-01-19 21:00:00,2018-01-19 20:50:00,"{'contractSymbol': 'AAPL180209C00177500', 'strike': 177.5, 'currency': 'USD', 'lastPrice': 5.1, 'change': -0.9000001, 'percentChange': -15.000002, 'volume': 442, 'openInterest': 1755, 'bid': 5.15, 'ask': 5.35, 'contractSize': 'REGULAR', 'expiration': 1518134400, 'lastTradeDate': 1516395000, 'impliedVolatility': 0.2921213366699218, 'inTheMoney': True}"
177.5,2018-02-09,put,AAPL180209P00177500,4.35,4.35,4.55,-0.03000021,-0.6849363,1104.0,471.0,0.30188686401367193,AAPL,False,AAPL,178.46,2018-01-19 21:00:00,2018-01-19 20:27:00,"{'contractSymbol': 'AAPL180209P00177500', 'strike': 177.5, 'currency': 'USD', 'lastPrice': 4.35, 'change': -0.03000021, 'percentChange': -0.6849363, 'volume': 1104, 'openInterest': 471, 'bid': 4.35, 'ask': 4.55, 'contractSize': 'REGULAR', 'expiration': 1518134400, 'lastTradeDate': 1516393620, 'impliedVolatility': 0.30188686401367193, 'inTheMoney': False}"
177.5,2018-02-23,call,AAPL180223C00177500,5.73,5.75,6.0,-0.86000013,-13.050077,583.0,949.0,0.2541578491210938,AAPL,False,AAPL,178.46,2018-01-19 21:00:00,2018-01-19 20:57:14,"{'contractSymbol': 'AAPL180223C00177500', 'strike': 177.5, 'currency': 'USD', 'lastPrice': 5.73, 'change': -0.86000013, 'percentChange': -13.050077, 'volume': 583, 'openInterest': 949, 'bid': 5.75, 'ask': 6.0, 'contractSize': 'REGULAR', 'expiration': 1519344000, 'lastTradeDate': 1516395434, 'impliedVolatility': 0.2541578491210938, 'inTheMoney': True}"
177.5,2018-02-23,put,AAPL180223P00177500,5.12,4.95,5.3,0.25,5.1334705,63.0,183.0,0.2662426892089844,AAPL,False,AAPL,178.46,2018-01-19 21:00:00,2018-01-19 20:50:00,"{'contractSymbol': 'AAPL180223P00177500', 'strike': 177.5, 'currency': 'USD', 'lastPrice': 5.12, 'change': 0.25, 'percentChange': 5.1334705, 'volume': 63, 'openInterest': 183, 'bid': 4.95, 'ask': 5.3, 'contractSize': 'REGULAR', 'expiration': 1519344000, 'lastTradeDate': 1516395000, 'impliedVolatility': 0.2662426892089844, 'inTheMoney': False}"
177.5,2018-03-02,call,AAPL180302C00177500,6.1,6.05,6.35,-1.0500002,-14.685318,519.0,810.0,0.24616232360839846,AAPL,False,AAPL,178.46,2018-01-19 21:00:00,2018-01-19 20:55:40,"{'contractSymbol': 'AAPL180302C00177500', 'strike': 177.5, 'currency': 'USD', 'lastPrice': 6.1, 'change': -1.0500002, 'percentChange': -14.685318, 'volume': 519, 'openInterest': 810, 'bid': 6.05, 'ask': 6.35, 'contractSize': 'REGULAR', 'expiration': 1519948800, 'lastTradeDate': 1516395340, 'impliedVolatility': 0.24616232360839846, 'inTheMoney': True}"
177.5,2018-03-02,put,AAPL180302P00177500,5.6,5.25,5.6,0.27999973,5.2631526,84.0,139.0,0.2551344018554688,AAPL,False,AAPL,178.46,2018-01-19 21:00:00,2018-01-19 20:47:53,"{'contractSymbol': 'AAPL180302P00177500', 'strike': 177.5, 'currency': 'USD', 'lastPrice': 5.6, 'change': 0.27999973, 'percentChange': 5.2631526, 'volume': 84, 'openInterest': 139, 'bid': 5.25, 'ask': 5.6, 'contractSize': 'REGULAR', 'expiration': 1519948800, 'lastTradeDate': 1516394873, 'impliedVolatility': 0.2551344018554688, 'inTheMoney': False}"
180.0,2018-01-26,call,AAPL180126C00180000,1.18,1.16,1.2,-0.6600001,-35.869568,35112.0,22375.0,0.20386538330078124,AAPL,False,AAPL,178.46,2018-01-19 21:00:00,2018-01-19 20:59:59,"{'contractSymbol': 'AAPL180126C00180000', 'strike': 180.0, 'currency': 'USD', 'lastPrice': 1.18, 'change': -0.6600001, 'percentChange': -35.869568, 'volume': 35112, 'openInterest': 22375, 'bid': 1.16, 'ask': 1.2, 'contractSize': 'REGULAR', 'expiration': 1516924800, 'lastTradeDate': 1516395599, 'impliedVolatility': 0.20386538330078124, 'inTheMoney': False}"
180.0,2018-01-26,put,AAPL180126P00180000,2.67,2.63,2.69,0.13000011,5.118115,5459.0,3041.0,0.198250205078125,AAPL,False,AAPL,178.46,2018-01-19 21:00:00,2018-01-19 20:59:58,"{'contractSymbol': 'AAPL180126P00180000', 'strike': 180.0, 'currency': 'USD', 'lastPrice': 2.67, 'change': 0.13000011, 'percentChange': 5.118115, 'volume': 5459, 'openInterest': 3041, 'bid': 2.63, 'ask': 2.69, 'contractSize': 'REGULAR', 'expiration': 1516924800, 'lastTradeDate': 1516395598, 'impliedVolatility': 0.198250205078125, 'inTheMoney': True}"
180.0,2018-02-02,call,AAPL180202C00180000,3.6,3.6,3.8,-0.75,-17.241379,4113.0,6985.0,0.3355779333496094,AAPL,False,AAPL,178.46,2018-01-19 21:00:00,2018-01-19 20:59:59,"{'contractSymbol': 'AAPL180202C00180000', 'strike': 180.0, 'currency': 'USD', 'lastPrice': 3.6, 'change': -0.75, 'percentChange': -17.241379, 'volume': 4113, 'openInterest': 6985, 'bid': 3.6, 'ask': 3.8, 'contractSize': 'REGULAR', 'expiration': 1517529600, 'lastTradeDate': 1516395599, 'impliedVolatility': 0.3355779333496094, 'inTheMoney': False}"
180.0,2018-02-02,put,AAPL180202P00180000,5.19,4.95,5.25,0.24000025,4.8484898,308.0,1336.0,0.3288641333007812,AAPL,False,AAPL,178.46,2018-01-19 21:00:00,2018-01-19 20:51:21,"{'contractSymbol': 'AAPL180202P00180000', 'strike': 180.0, 'currency': 'USD', 'lastPrice': 5.19, 'change': 0.24000025, 'percentChange': 4.8484898, 'volume': 308, 'openInterest': 1336, 'bid': 4.95, 'ask': 5.25, 'contractSize': 'REGULAR', 'expiration': 1517529600, 'lastTradeDate': 1516395081, 'impliedVolatility': 0.3288641333007812, 'inTheMoney': True}"
180.0,2018-02-09,call,AAPL180209C00180000,3.9,3.9,4.0,-0.7999997,-17.02127,1992.0,3428.0,0.2825999475097656,AAPL,False,AAPL,178.46,2018-01-19 21:00:00,2018-01-19 20:58:48,"{'contractSymbol': 'AAPL180209C00180000', 'strike': 180.0, 'currency': 'USD', 'lastPrice': 3.9, 'change': -0.7999997, 'percentChange': -17.02127, 'volume': 1992, 'openInterest': 3428, 'bid': 3.9, 'ask': 4.0, 'contractSize': 'REGULAR', 'expiration': 1518134400, 'lastTradeDate': 1516395528, 'impliedVolatility': 0.2825999475097656, 'inTheMoney': False}"
